scenario,scenario_desc,country,baseline_import_10k_tons,optimized_regular_10k_tons,optimized_emergency_10k_tons,optimized_import_10k_tons,delta_10k_tons,share_percent,risk_score,price_rmb_per_kg
S1,霍尔木兹海峡封锁,安哥拉,2975.5550186,4016.9993,1338.9998,5355.9991,2380.4440814,8.769043907529477,70.58229740846626,3.765107355995437
S1,霍尔木兹海峡封锁,加拿大,1632.7186828,2204.1702,734.72341,2938.89361,1306.1749272000002,4.811667557159936,36.03087357498559,3.2561484017459668
S1,霍尔木兹海峡封锁,印度尼西亚,1451.0134452,1958.8682,652.95605,2611.8242499999997,1160.8108047999997,4.27617725458547,50.691147202605855,3.315201265993066
S1,霍尔木兹海峡封锁,哥伦比亚,829.7622393,1120.179,373.39301,1493.57201,663.8097707000001,2.445332474896618,58.63594849513843,3.2194507154888314
S1,霍尔木兹海峡封锁,厄瓜多尔,816.9345976,1102.8617,367.62057,1470.48227,653.5476724,2.4075290809652334,62.61592995503614,3.3489937830244734
S1,霍尔木兹海峡封锁,刚果民主共和国,11.8412,0.0,5.32854,5.32854,-6.51266,0.008724086832469245,88.05936307916504,3.979801067459379
S1,霍尔木兹海峡封锁,沙特阿拉伯,8075.9312027,0.0,0.0,0.0,-8075.9312027,0.0,76.29355138959573,3.8520937206472667
S1,霍尔木兹海峡封锁,伊拉克,6462.4950019,0.0,0.0,0.0,-6462.4950019,0.0,90.98947220232851,3.696622834025623
S1,霍尔木兹海峡封锁,阿曼,3535.2073816,0.0,0.0,0.0,-3535.2073816,0.0,65.49058362717456,3.94268585954686
S1,霍尔木兹海峡封锁,阿联酋,3750.9013706,0.0,0.0,0.0,-3750.9013706,0.0,68.32670235497437,4.001433327664156
S1,霍尔木兹海峡封锁,科威特,1902.1665497,0.0,0.0,0.0,-1902.1665497,0.0,68.43571067434216,3.7860463615742868
S1,霍尔木兹海峡封锁,卡塔尔,724.9606079,0.0,0.0,0.0,-724.9606079,0.0,67.78562374323872,3.956451825994448
S2,俄乌冲突升级,沙特阿拉伯,8075.9312027,7361.2773,0.0,7361.2773,-714.6539026999999,12.052161072842608,76.29355138959573,3.8520937206472667
S2,俄乌冲突升级,马来西亚,6441.1626019,7274.9778,0.0,7274.9778,833.8151981000001,11.910868273764684,52.74373102400892,3.4502373664103043
S2,俄乌冲突升级,俄罗斯,10071.7727712,6798.4466,0.0,6798.4466,-3273.3261711999994,11.130673404779792,63.689461172447615,3.539934762572297
S2,俄乌冲突升级,巴西,4707.5330375,6355.1696,0.0,6355.1696,1647.6365624999999,10.404923567331545,53.95780167915017,3.6563602376842588
S2,俄乌冲突升级,阿联酋,3750.9013706,5063.7169,0.0,5063.7169,1312.8155294000003,8.290508456470626,68.32670235497437,4.001433327664156
S2,俄乌冲突升级,阿曼,3535.2073816,4772.53,0.0,4772.53,1237.3226183999996,7.813766271917719,65.49058362717456,3.94268585954686
S2,俄乌冲突升级,安哥拉,2975.5550186,4016.9993,0.0,4016.9993,1041.4442814,6.576782889716165,70.58229740846626,3.765107355995437
S2,俄乌冲突升级,科威特,1902.1665497,2567.9248,0.0,2567.9248,665.7582502999999,4.204303417906447,68.43571067434216,3.7860463615742868
S2,俄乌冲突升级,加拿大,1632.7186828,2204.1702,244.9078,2449.078,816.3593172000001,4.009722950656299,36.03087357498559,3.2561484017459668
S2,俄乌冲突升级,印度尼西亚,1451.0134452,1958.8682,0.0,1958.8682,507.8547547999999,3.2071329614045743,50.691147202605855,3.315201265993066
S2,俄乌冲突升级,哥伦比亚,829.7622393,1120.179,15.98562,1136.16462,306.4023807,1.860171604390588,58.63594849513843,3.2194507154888314
S2,俄乌冲突升级,厄瓜多尔,816.9345976,1102.8617,0.0,1102.8617,285.92710239999997,1.8056468066308304,62.61592995503614,3.3489937830244734
S2,俄乌冲突升级,卡塔尔,724.9606079,978.69682,0.0,978.69682,253.7362121,1.6023593780550622,67.78562374323872,3.956451825994448
S2,俄乌冲突升级,伊拉克,6462.4950019,80.0,0.0,80.0,-6382.4950019,0.13097901988115687,90.98947220232851,3.696622834025623
S2,俄乌冲突升级,刚果民主共和国,11.8412,0.0,0.0,0.0,-11.8412,0.0,88.05936307916504,3.979801067459379
S3,南海紧张,俄罗斯,10071.7727712,11294.159,0.0,11294.159,1222.3862288,18.491223452524334,63.689461172447615,3.539934762572297
S3,南海紧张,沙特阿拉伯,8075.9312027,7300.3357,0.0,7300.3357,-775.5955027,11.952385184867738,76.29355138959573,3.8520937206472667
S3,南海紧张,巴西,4707.5330375,6355.1696,0.0,6355.1696,1647.6365624999999,10.404923567331545,53.95780167915017,3.6563602376842588
S3,南海紧张,阿联酋,3750.9013706,5063.7169,0.0,5063.7169,1312.8155294000003,8.290508456470626,68.32670235497437,4.001433327664156
S3,南海紧张,阿曼,3535.2073816,4772.53,0.0,4772.53,1237.3226183999996,7.813766271917719,65.49058362717456,3.94268585954686
S3,南海紧张,马来西亚,6441.1626019,4347.7848,386.46976,4734.25456,-1706.9080418999993,7.751100276708719,52.74373102400892,3.4502373664103043
S3,南海紧张,安哥拉,2975.5550186,3846.1524,0.0,3846.1524,870.5973813999999,6.29706589581949,70.58229740846626,3.765107355995437
S3,南海紧张,科威特,1902.1665497,2567.9248,0.0,2567.9248,665.7582502999999,4.204303417906447,68.43571067434216,3.7860463615742868
S3,南海紧张,加拿大,1632.7186828,2204.1702,195.92624,2400.0964400000003,767.3777572000004,3.9295284916431727,36.03087357498559,3.2561484017459668
S3,南海紧张,印度尼西亚,1451.0134452,1958.8682,174.12161,2132.98981,681.9763648,3.492211434128688,50.691147202605855,3.315201265993066
S3,南海紧张,哥伦比亚,829.7622393,1120.179,0.0,1120.179,290.41676070000005,1.8339993438931803,58.63594849513843,3.2194507154888314
S3,南海紧张,厄瓜多尔,816.9345976,1102.8617,0.0,1102.8617,285.92710239999997,1.8056468066308304,62.61592995503614,3.3489937830244734
S3,南海紧张,卡塔尔,724.9606079,978.69682,0.0,978.69682,253.7362121,1.6023593780550622,67.78562374323872,3.956451825994448
S3,南海紧张,伊拉克,6462.4950019,80.0,0.0,80.0,-6382.4950019,0.13097901988115687,90.98947220232851,3.696622834025623
S3,南海紧张,刚果民主共和国,11.8412,0.0,0.0,0.0,-11.8412,0.0,88.05936307916504,3.979801067459379
S4,综合中断（前三大来源国减半）,马来西亚,6441.1626019,7511.7431,0.0,7511.7431,1070.5804981,12.298509360463035,52.74373102400892,3.4502373664103043
S4,综合中断（前三大来源国减半）,俄罗斯,10071.7727712,6798.4466,0.0,6798.4466,-3273.3261711999994,11.130673404779792,63.689461172447615,3.539934762572297
S4,综合中断（前三大来源国减半）,巴西,4707.5330375,6355.1696,0.0,6355.1696,1647.6365624999999,10.404923567331545,53.95780167915017,3.6563602376842588
S4,综合中断（前三大来源国减半）,阿联酋,3750.9013706,5063.7169,0.0,5063.7169,1312.8155294000003,8.290508456470626,68.32670235497437,4.001433327664156
S4,综合中断（前三大来源国减半）,阿曼,3535.2073816,4772.53,0.0,4772.53,1237.3226183999996,7.813766271917719,65.49058362717456,3.94268585954686
S4,综合中断（前三大来源国减半）,安哥拉,2975.5550186,4016.9993,0.0,4016.9993,1041.4442814,6.576782889716165,70.58229740846626,3.765107355995437
S4,综合中断（前三大来源国减半）,加拿大,1632.7186828,2204.1702,408.17967,2612.34987,979.6311872000001,4.277037819490844,36.03087357498559,3.2561484017459668
S4,综合中断（前三大来源国减半）,科威特,1902.1665497,2567.9248,0.0,2567.9248,665.7582502999999,4.204303417906447,68.43571067434216,3.7860463615742868
S4,综合中断（前三大来源国减半）,印度尼西亚,1451.0134452,1958.8682,0.0,1958.8682,507.8547547999999,3.2071329614045743,50.691147202605855,3.315201265993066
S4,综合中断（前三大来源国减半）,哥伦比亚,829.7622393,1120.179,207.44056,1327.61956,497.85732070000006,2.173628859298159,58.63594849513843,3.2194507154888314
S4,综合中断（前三大来源国减半）,厄瓜多尔,816.9345976,1102.8617,0.0,1102.8617,285.92710239999997,1.8056468066308304,62.61592995503614,3.3489937830244734
S4,综合中断（前三大来源国减半）,卡塔尔,724.9606079,978.69682,0.0,978.69682,253.7362121,1.6023593780550622,67.78562374323872,3.956451825994448
S4,综合中断（前三大来源国减半）,沙特阿拉伯,8075.9312027,661.93676,0.0,661.93676,-7413.994442699999,1.0837478506013571,76.29355138959573,3.8520937206472667
S4,综合中断（前三大来源国减半）,伊拉克,6462.4950019,80.0,0.0,80.0,-6382.4950019,0.13097901988115687,90.98947220232851,3.696622834025623
S4,综合中断（前三大来源国减半）,刚果民主共和国,11.8412,0.0,0.0,0.0,-11.8412,0.0,88.05936307916504,3.979801067459379
